{...}там буду я уметь 	Теряться по свету, забыться и развлечься!Грибоедов. Горе от ума. 3, 1. Чацкий.Ср. Без дороги в путь отправился -Горе мыкать, жизнью тешиться,С злою долей переведаться...Кольцов. Измена суженой.
А все-таки движется!{ (А все-таки она вертится!)} 	Земля около СолнцаСр. Движенья нет, сказал мудрец брадатый...Однако ж прав упрямый Галилей.А.С. Пушкин. Движение.Ср. Eppur si muove.А все-таки движется.Ср. Утверждают, что Галилей (1564-1642), вынужденный судом инквизиции отказаться от своего учения о движении Земли, противоречащего буквальному смыслу книги Навина 10, 12-13, встал и, топнув ногой, сказал: eppur si muove.Dictionn. historique (Caen. 1789). Ñð. Hertslet. Der Treppenwitz der Weltgeschichte.Аристарх из Самоса, знаменитый астроном (около 281-264 до Р.Х.) вместе с пифагорейцами утверждал, что Земля вертится около Солнца.Ср. Стой, солнце, над Гаваоном, и луна, над долиною Аиалонскою! И остановилось солнце, и луна стояла... стояло солнце среди неба и не спешило к западу почти целый день.Иис. Навин. 10, 12-13.
А все-таки она вертится! 	А все-таки движется! (́А все-таки она вертится!)Земля около СолнцаСр. Движенья нет, сказал мудрец брадатый...Однако ж прав упрямый Галилей.А.С. Пушкин. Движение.Ср. Eppur si muove.А все-таки движется.Ср. Утверждают, что Галилей (1564-1642), вынужденный судом инквизиции отказаться от своего учения о движении Земли, противоречащего буквальному смыслу книги Навина 10, 12-13, встал и, топнув ногой, сказал: eppur si muove.Dictionn. historique (Caen. 1789). Ñð. Hertslet. Der Treppenwitz der Weltgeschichte.Аристарх из Самоса, знаменитый астроном (около 281-264 до Р.Х.) вместе с пифагорейцами утверждал, что Земля вертится около Солнца.Ср. Стой, солнце, над Гаваоном, и луна, над долиною Аиалонскою! И остановилось солнце, и луна стояла... стояло солнце среди неба и не спешило к западу почти целый день.Иис. Навин. 10, 12-13.
А где до прибыли коснется{,} 	Не только там гусям, и людям достается.Крылов. Гуси.См. хоть стыдно, да сытно.
А подать сюда Ляпкина-Тяпкина 	Ср. Вдруг заглянет: "А кто, скажет, здесь судья?" — Ляпкин-Тяпкин! — "А подать сюда Ляпкина-Тяпкина". — "А кто попечитель богоугодных заведений?" — Земляника. — "А подать сюда Землянику!"Гоголь. Ревизор. 1, 1. Городничий.
а со лжецом во всяком деле мука 	Так это, думал царь, не царская наука.Крылов. Воспитание Льва.
А судьи кто? 	Ср. Не я один — все также осуждают.(Фамусов).Ср. "А судьи кто?"Грибоедов. Горе от ума. 2, 5. Чацкий.Ср. Ничтожный судТолпы, в решениях пристрастной,И ветреной и разногласной.Жуковский.См. улица.
А счастье было так возможно{,} 	Так близко!..А.С. Пушкин. Евг. Онег. 8, 47. Татьяна.Ср. Спешил!.. летел!.. дрожал!.. вот счастье, думал, близко!Грибоедов. Горе от ума. 4, 14.Ср. Behüf dich Gott; es wär' so schön gewesen,Behüt' dich Gott; es hat nicht sollen sein.Это было бы так прекрасно,Но быть тому не суждено было.Scheffel. Der Trompeter von Säckingen (1454).Ср. Dis aliter visum.Боги иначе решили.Virgil. Aen. 2, 428.См. человек предполагает, а Бог располагает.
а-ту! 	улю-лю! а-ту!(улюлюкать, атукать.)Ср. Улюлюкать — травить (зверя), атукать (зайца).Ср. Улюлюкать (иноск.) — громко шуметь (намек на крики охотников).Ср. Пора! Ну, ну! не выдай конь!Не выдайте собаченьки!Эй! улю-лю! родимые!Эй — улю-лю! — а-ту!H.А. Некрасов. Кому на Руси. 5.Ср. В лесу творилось что-то несообразимое. Ветер метался, как бешеный, вихрем крутил снег, ломился на лес справа и слева, гоготал и улюлюкал.A.H. Будищев. Светлый гость. 1.См. атукать.См. улюлюкать.См. гоготать.
абажур 	ламповый навесСр. Сосредоточенные, неподвижные, с лицами, окрашенными в зеленый цвет от абажуров, они (игроки) напоминали сказочных гномов...А.П. Чехов. Винт.Ср. Abat-jour (abattre-jour).См. гном.
аббадона(Авадон) 	ангел бездныСр. Углубляясь ежедневно в самые изгибы моего сердца, я усматриваю ясно, что, по воле Провидения, получил вместе с греховной природой человека страсть Аббадоны — гордость.Писемский. Масоны. 1, 3.Ср. Сумрачен, тих, одинок, на ступенях подземного тронаЗрелся от всех удален Серафим Аббадона.Жуковский. Аббадона.Ср. Царем над собою она (саранча) имела ангела бездны; имя ему по-еврейски Аваддон, а по-гречески Аполлион (губитель).Апок. 9, 11. Ср. Иов. 28, 22. Притч. 15, 11.Ср. Άπόλλιον — απόλλυμι (απο, от, с, — ολυμι, уничтожаю, гублю).Некоторые в Наполеоне видели упоминаемого в Апокалипсисе Аполлиона.
аббатик(аббат) 	(иноск.) — о лицах недуховных с титулом аббата, но больше занимавшихся пронырством и ухаживаниемСр. Княжна Кубанская приставила к нему гувернера, француза, бывшего аббата, ловкого и тонкого проныру, самую, как она выражалась, fine fleur эмиграции, — и кончила тем, что чуть не 70-ти лет вышла замуж за этого "финьфлера".Тургенев. Дворянское гнездо. 8.Ср. Старых барынь духовник,Маленький аббатик,Что в гостиных бить привыкВ маленький набатик.Все кричат ему в привет,С аханьем и писком,А он важно им в ответ:Dominus vobiscum.Д.В.
Давыдов. Современная песня.Ср. Monsieur l'Abbé, француз убогий,Чтоб не измучилось дитя,Учил его всему шутя,Не докучал моралью строгой...А.С. Пушкин. Евг. Онег. 1, 3.Ср. Hetzkapläne.Ср. Sie ziehen sich in denen, welche wir im Allgemeinen Hetzkapläne nennen, eine Gesellschaft gross, mit der Sie in ruhigen Zeiten Ihre Not haben werden.Bismark im Preuss. Abgeord. Hause. 18 März. 1875.Ср. Abbé.Ср. Notre règne n'est pas tombé;Nous nous insinuons toujours dans le ménageChaque maison a son abbé;Il y donne le ton, y joue un personnage,Pour les valets il est monsieur l'abbé,Pour le maître, mon cher abbé,
абдериты 	(иноск.) — простаки с ограниченными понятиями, смешные провинциалы — нечто вроде наших пошехонцевСр. Я и сам не из Абдеры.И.И. Дмитриев (в письме к А.И. Тургеневу, 1821).Ср. Wieland. Geschichte der Abderiten (Teutscher Merkur. 1774. 1-2).Ср. Abderitanae pectora plebis.Martial. 10, 25.Ср. Lucianus (160 по Р.Х.): Как надо писать историю (осмеяние города Абдеры).Абдера — город во Фракии, который, по мнению Гиппократа, своими климатическими условиями вредно влиял на здоровье и умственные способности своих обывателей.См. пошехонцы.См. гиппократовы черты.
абдикация 	добровольный отказ от прав своихСр. Abdication — отречение (от престола).Ср. Abdicatio (abdicere; ab, от — dicere, сказать) — отречение.
аберрация 	(иноск.) — уклонение вообще, совращение с пути (отклонение от смысла, заблуждение; намек на аберрацию (астрон.) — отклонение фокуса одних лучей от других, вышедших из той же точки)Ср. Начиналось у нас верчение столов и прочее. Такой умный и образованный человек... мог так доверчиво относиться ко всему этому шарлатанству, все это я иначе не понимал, как шарлатанство и аберрацию, так сказать, и ничего сверхъестественного в природе разум мой и посейчас допустить не может.Маркевич. Две маски.Ср. Irren (нем.), err (англ.), errer (фр.), errare (лат. iter, путь) — блуждать без цели, путешествовать, (иноск.) ошибаться.Ср. Aberratio (ab, от — errare, блуждать) — заблуждение, ошибка.См. шарлатан.См. столоверчение.
абитуриент 	звание ученика при выходе его из (среднего) учебного заведения с "аттестатом зрелости"Ср. Доставлявшиеся доныне ректорам университетов и директорам высших специальных заведений секретные характеристики соответствующих абитуриентов средней школы отменяются на будущее время.Циркуляр управляющего Минист. нар. пр. попечителям округов. 29-го июля 1902 г.Ср. Abiturient (нем.).Ср. Abiturus (abire, уходить) — имеющий выйти.См. аттестат зрелости.
аблакат 	I.(иноск. презрит.) — плохой, мелкий адвокат, намек на необразованного клиента, искажающего слово адвокатСр. Я теперь просто мужицкий "аблакат", как назвал меня все тот же генерал Дерунов.Боборыкин. Ходок. 1, 7.Ср. Писарем я его к себе взял... аблакатствовать. По мировым делам теперь "аблакатствует".Маркевич. Чад жизни. 1, 5.II.См. облакат
аболиционист 	ратующий за освободительные идеи, против рабства (намек на аболицию — отмену действий уголовного суда, а также на аболиционистов в Америке, ратовавших против рабства)Ср. Журовский впоследствии получил у нас оригинальную известность, как сотрудник Сперанского по изданию законов и потом искреннейший аболиционист.Лесков. Захудалый род. 2, 9.Ср. Abolitio (abolere, прекратить [[рост]] — уничтожить) — уничтожение, освобождение от кары.См. оригинал.
абонемент 	подписка со взносом денег на получение права пользоваться чем-нибудьСр. Абонент. Абонировать.Ср. Abonnement (abonné, подписчик), абонемент.Ср. (средн.-лат.) abonnare (bonum, добро) — заключить договор (касательно имущества).См. не в счет абонемента.
аборигены 	первые поселенцы края, исконные, коренные жители егоСр. Он думал, что переживаемое приключение сделало бы счастливым какого-нибудь Купера и Жюля Верна: есть и кораблекрушение, и гостеприимные аборигены, и пляска диких вокруг костра...Горький. Мой спутник. 6.Ср. Аборигены, так сказать, лугов. Крестьяне, искони косившие их.Маркевич. Перелом. 3, 11.Ср. Мироеды по происхождению бывают двух сортов: аборигены и наезжие.Салтыков. Мелочи жизни, 1, 4. Мироеды.Ср. Ab, от — origo, начало (ab origine — с начала). — Orior-iri, родиться.См. автохтоны.
абракадабра 	(иноск.) — бестолочь, путаницаСр. В воскресенье Nicolas бежит к Берте и там отдыхает от всей абракадабры, которую принято называть ученьем.Салтыков. Г-да ташкентцы. 4.В прямом смысле Абракадабра (евр. авракадавра: скройся, нечистый) — имя идола сирийского, таинственное слово, перешедшее от древних евреев и греков; род заклинания (от лихорадки), которое писалось одиннадцать раз так, что получался треугольник. Вроде амулета это носится в ладанке. Серен Саммоник, древний врач (II в.), верил, что это средство против горячки.См. аминь, аминь, рассыпься.
абрис 	(иноск.) — наброска сочинения, краткий очерк (намек на предварительный наброс, контур рисунка)Ср. Какие резкие черты проведены на самых мимолетных абрисах.Плетнев (Пушкин. "К морю").См. черта.
абсентеизм 	(иноск.) — уклонение от обязанности участвовать, присутствовать (напр. в собраниях) для обсуждения общественных вопросов (намек на англ. и ирландских помещиков, живших вдали от своих владений). Отсутствие вообщеСр. В школе мы называли Архимедова "Федот да не тот", и эта кличка удивительно к нему шла. Что-то несвойственное в нем было, какая-то заколдованность, абсентеизм.Салтыков. Пестрые письма. 3.Ср. Absenteism (англ.).Ср. Absentia (absens, отсутствующий) — отсутствие (absum, отсутствую).См. федот, да не тот.
абсолютизм 	безусловность, безотносительность убежденийСр. Абсолютное правление — система неограниченного (ничем не ограниченного) правления.Ср. Он не допускал "лично" ни верности, ни ревности, но и не отвергал "абсолютно" их raison d'être.Маркевич. Перелом. 3.Ср. Absolutisme (франц.).Ср. Absolutus (ab-solvere, освобождать) — освобожденный (от вмешательства), безусловный.
абстрактно(Конкретно) 	Абстрактно — отвлеченно (односторонне, без применения), умственно; конкретно — в известном наглядном применении, предметноСр. Он работает не как обыкновенные смертные, но идет в экспедицию и свернет себе там шею не во имя любви к ближнему, а во имя таких абстрактов, как человечество, будущие поколения, идеальная порода людей...А.П. Чехов. Дуэль. 9.Ср. Все непритворно в нем: теорий темный бред;Абстрактность - Гегеля неизгладимый след...А. Мазов. Бор. Ник. Чичерин.Ср. Abstractus (abstrahere, отвлекать), абстракт — отвлеченность, отвлеченный (расплывчатый).Ср. Concretus (concrescere, сгущаться, срастаться) — предметный (сгущенный), примененный.См. конкретный.
абсурд 	бестолковщина, нелепостьДойти до абсурда.Ср. Здоровый мозг даже решительно отказывается понимать эти абсурды.Маркевич. Марина из Алого Рога. 14.Ср. Как смел он, не сказавши ей ни слова, заявлять о таком абсурде, как это намерение отказаться от своей должности.Маркевич. Лесник. 11.Ср. Новые писатели дают слишком много места реализму... Отвергают все основы искусства... дошли до абсурда... - Слышишь — "абсурд", каково слово! Он эдак и на кафедре преподает? — заметил генерал...Гончаров. Литературный вечер. 2.Ср. Когда противник хитрит, целесообразнее всего согласиться с ним, чтобы повести его к абсурду.Курьер. О бенефисе в пользу кассы взаимопомощи.Ср. C'est absurde — глупо, нелепо.Ср. Ab absurdo — нелепо, нескладно (о лжеумствованиях, ложных и нелепых доказательствах и доводах), собств. ab surdo — сказано глухим, незнающим.
абулия 	отсутствие воли, нерешительность, безрассудность, неразумиеСр. Он отдавался какой-то сладкой игре, уходил в новое чувство опасности около пленительной женщины, уступал ей свою волю, не хотел сделать над собой никаких сознательных усилий. Им овладевала "абулия". Ученый термин случайно мелькнул в его голове.П. Боборыкин. На ущербе. 1, 22.Ср. Абулия! Ну, да. Отсутствие энергии, слякоть. Ничего нет примиряющего в этом греческом термине. Слово в слово: безволие — и больше ничего!П. Боборыкин. Перевал. 2, 24.Ср. αβουλία (α — отриц., βουλή — воля).βούλομαι — решаюсь на что по обсуждении.
абцуг(с первого абцуга) 	тотчасСр. Репетилов пришел — и с первого же абцуга сказал нам речь: вы, говорит, меня не беспокойте, и я вас беспокоить не буду.Салтыков. В среде умеренности. Г-да Молчалины. 2.В азартной карточной игре (первая) пара карт в метке.См. в сониках.См. с первого абцуга
абшид 	увольнение, отставкаСр. Ах, голубчики (говорил Ушаков), столько дела, столько! из чести одной служу князю, давно пора в абшид, измучился.Данилевский. Княгиня Тараканова. 2, 19.Ср. Abschied (собств. прощание) — отставка.
авадон 	аббадона (Авадон)ангел бездныСр. Углубляясь ежедневно в самые изгибы моего сердца, я усматриваю ясно, что, по воле Провидения, получил вместе с греховной природой человека страсть Аббадоны — гордость.Писемский. Масоны. 1, 3.Ср. Сумрачен, тих, одинок, на ступенях подземного тронаЗрелся от всех удален Серафим Аббадона.Жуковский. Аббадона.Ср. Царем над собою она (саранча) имела ангела бездны; имя ему по-еврейски Аваддон, а по-гречески Аполлион (губитель).Апок. 9, 11. Ср. Иов. 28, 22. Притч. 15, 11.Ср. Άπόλλιον — απόλλυμι (απο, от, с, — ολυμι, уничтожаю, гублю).Некоторые в Наполеоне видели упоминаемого в Апокалипсисе Аполлиона.
альбион 	БританияСр. Я берег покидал туманный Альбиона:Казалось, он в волнах свинцовых утопал.К.Н. Батюшков. Тень друга.Альбион = albus, белый (белые берега — скалы).См. свинцовое небо.
альбомные стихи 	(иноск.) — сентиментальныеАльбом — книга с рисунками и изречениями (на память от друзей)Ср. Летучие листки альбомаПрилежно украшает ей.То в них рисует сельски виды,Надгробный камень, храм Киприды...А.С. Пушкин. Евг. Онегин. 4, 27.Ср. Конечно, вы не раз видалиУездной барышни альбом,Что все подружки измаралиС конца, с начала и кругом.А.С. Пушкин. Евг. Онегин. 4, 28.Ср. Какой-нибудь пиит армейскийТут подмахнул стишок злодейский.Там же. 4, 29.Начало "альбомов" надо искать в книгах с чистыми листами, где девицы или юноши, вместе учившиеся, при расставании — на память — что-нибудь рисовали или же записывали разные мысли стихами или прозой.Ср. Альбомы студозиорум.Тредьяковский. Разговор о правописании.Ср. лат. album (белое — о листках).См. кто любит более тебя.
альгвазил 	алгвазил (альгвазил)полицейский жандарм (намек на альгвазила, испанского жандарма)Ср. В передней у меня сидели рядом два здоровые солдата, в голубых шинелях... Во мне вдруг пробудилась решимость спасаться, прежде чем подстерегавшие меня алгвазилы могли что-нибудь сообразить, я быстро скатился с лестницы.Лесков. Смех и горе. 30.Ср. Alguazil (франц.). Alguacil (испанск.) — полицейский в Испании.Ср. Al-wazir (арабск.) — визирь (wasîl — власть).
альков 	ниша, углубление в стене (собств. для кровати)Ср. Ожил, ожил! — кричал он мне, шагая по своей светлой и просторной комнате с альковом.Боборыкин. Дома. 8.Ср. Перед альковом, где за занавесками стояла кровать полковника, он увидел на столе хлыст барина...Данилевский. Беглые в Новороссии. 2, 10.Ср. Alkow (нем.). Alkôve (фр.). Alcoba (исп.) — от al khoba (арабск.), спальня.
альковные тайны 	(иноск.) — любовныеСр. В мнении Скабичевского ("Ист. нов. рус. литературы"), что Боборыкин ударился в подражание французским натуралистам — их страсти к чересчур смелым описаниям альковных тайн — что ни слово, то несправедливость...С.А. Венгеров. Кр.-биогр. словарь. 4, 15.
альманах 	ежегодник, т.е. ежегодно издаваемый сборник; книга различного содержания (в подражание, с изменениями, прежде издававшихся календарей), со сведениями, особенно по исчислению времени, по астрономии и т. пСр. Примите "Невский альманах ",Он мил и в прозе и в стихах....А.С. Пушкин. Н.Н. при посылке ей "Невского альманаха".Ср. ...прочелИ альманахи, и журналы,Где нынче так меня бранят.А.С. Пушкин. Евг. Онегин. 8, 35.Ср. Арабск. al (член при сущ.), mana — мера (счет времени).Ср. (Евр.) manach — считать.
альт 	(иноск.) — альтист, поющий альтом, (собств.) второй голос (вторая скрипка)Ср. Я — бывало, альт запьет, на альте играю; гобой под арестом — в гобой дую; корнет-а-пистон хворает, кто его может заменить? Сучков.М. Горький. Коновалов.Ср. Alto (ит.), скрипка — alto, высокий, глубокий (altus, высокий).
альтернативы(предстоят) 	одна из двух (взаимно исключающих) крайностейСр. Начну-ка опять пить... или нет, еще погожу! — твердил себе Гришка, колеблясь между двумя альтернативами...Салтыков. Мел. жизни. Портной Гришка.Ср. Die Alternative ergreifen.Решиться на одну из двух мер.Ср. L'alternative, выбор любого из двух.Ср. Il faut qu'une porte soit ouverte ou fermée.Дверь должна быть отперта или заперта (Средины нет).Brueys et Palaprat. Le Grondeur. 1, 6;Ср. Alfred de Musset. Заглавие его „Proverbe".Ср. Alternus — поочередный; alter — другой (из двух).
альтруизм 	(противоп. эгоизму) — забота о других, служение другимСр. Она должна же понимать, что любовь к детям для себя есть не альтруизм, а чистейшее себялюбие, что детей только испортишь, держа при себе слишком долго...Боборыкин. Поумнел. 4.Ср. Ты потрясен? И это что-нибудь — твое, личное, не чужое, а свое горе... не альтруистическое, — добавил он с горькой усмешкой...П. Боборыкин. Распад. 4.Ср. Altruisme (autrui — alter huic, другой, чужой), альтруизм.См. самолюб никому не люб.
альфа(Алфа) и Омега 	первая и последняя буквы в греческом алфавите; иноск.: начало и конец, всеСр. Альфа и омега кухни — кухарка Пелагея — возилась около печки.А.П. Чехов. Кухарка женится.Ср. Вот вам альфа и омега, начало и конец всех дел, имевших цель удовлетворить те или другие общественные обязанности... Начатое по совести дело в конце концов теряет всякий смысл... и оканчивается самым прозаическим хозяйничаньем в общественном сундуке...Гл. Успенский. Бог грехам терпит. Опустошитель.Ср. О друг! ты альфа и омегаЛюбви возвышенной моей!Языков.Ср. Depuis a jusqu'à z.Ср. Я есмь Альфа и Омега, начало и конец, говорит Господь, Который есть, был и грядет, Вседержитель.Апок. 1, 8; 21, 6.Ср. Я — первый и Я — последний и кроме Меня нет Бога.Исаия. 44, 6;Ср. 41, 4; 48, 12.
альфонс 	Охо-хонюшки, хорошо жить Афонюшке; одним Фонюшка не хорош: промысел не гож.Ср. "Альфонс", знаете, — ездили мы с нею в Париж "на премьеру" (первое представление) пиесы Дюма-фиса смотреть — на счет любовницы своей живущий человек, значит.Б.Н. Маркевич. Бездна. 2, 2.Ср. ...Долго ли денег достать?С шиком оделся, приставил лорнеткуК левому глазу, прищурил другой,Мигом пленил пожилую кокеткуИ полилось ему счастье рекой...Некрасов. Папаша.Ср. Tu peux garder tout ce que tu as reçu de moiEt maintenant file...A. Dumas-fils. Monsieur Alphonse (1873). M-me Guichard.См. шик.
амазонка 	(иноск.) — наездница, а также самое платье, носимое ею для верховой ездыСлово это получило начало от амазонок (греч.), баснословных женщин, живших на берегах Черного моря, в Африке, Америке, составлявших отдельный воинственный народ без мужчин. Для сохранения потомства они вступали в связь с соседними мужчинами (для такой же цели царица их Фалестра посетила Александра Мак.). Детей мужского пола они отсылали к соседям, а девочек оставляли у себя. Приучая их к войне, они выжигали им правую грудь, чтобы она не мешала им натягивать лук.Португальский мореплаватель Ореллана нашел в 1539 г. амазонок, ведущих войну в Америке на берегах реки Мараньона, названной Амазонской.Ср. Ά — без, μασθός, μαζός — грудь, сосцы; Άμαστος — безгрудый.Ср. Herodot. 4, 110-117 Ср. Strabo. 11, 5.Ср. Homer (о войнах Беллерофона и фригийцев с амазонками).
амальгама 	(иноск.) — бессвязная смесь вообщеСр. Горячее препирательство (между славянофилами и западниками)... в Одессе едва-едва, глухим отдаленным эхом, доносилось до той случайной амальгамы индивидов из всех стран и племен мира, которая претворялась в тип тогдашнего одессита.Маркевич. Из прожитых дней. 3.Ср. Amalgama (лат.) — mollis, мягкий; (арабск.) — al modjama.Ср. Μάλαγμα (μαλάσσω, смягчаю) — смягчающее вообще (примешивание смягчающего).См. тип.См. эхо.
аматер 	любитель по наклонности, знаток-охотник до чегоСр. Такие люди бывали в наше время, господа; это не то, что грубые взяточники или с большой дороги грабители: нет, все народ-аматёр были.Салтыков. Губ. очерки. 1. Первый рассказ подьячего.Ср. Любовник — озорник, бретер;А ты совсем не аматерПроцессов, распрей и дуэлей...Мятлев. Катерина Шарманка.Ср. Я большой аматер со стороны женской полноты.Гоголь. Женитьба. 2, 8. Жевакин.Ср. Amateur (amare — любить) — любитель, охотник.См. дуэль.См. бретер.См. охотник.
амбарго(эмбарго) наложить 	(иноск.) — вообще наложить запрещение, задержать, наложить секвестр (на море амбарго — запрещение выхода судна из гавани)Ср. Barrer (фр.), embargar (исп.), загораживать (imbarricare).
амбаркадер 	пристань для судов; станция (где входят и выходят)Ср. В ожидании поезда он... бегал по пустой платформе амбаркадера...Лесков. Обойденные. 3, 11.Ср. Они отъехали от Петербургского амбаркадера Варшавской железной дороги.Там же. 2, 5.Ср. Em (de) barcadère — место стоянки (судна).
амбиция 	чувство честиСр. Задеть мою амбициюЯ не позволю вам:Я жалобу в полициюНа вас, сударь, подам.П. Каратыгин.Ср. Ведь уж чего! Погибаешь, ветошке подобишься, так ведь нет же, туда же с амбицией, дескать, честь моя страждет...Достоевский. Двойник. 9.Ср. Ambition — самолюбие.Ср. Ambitio (ambitiosus) — amb(i), ire (ходить около, добиваться).Ср. άμφί — около.См. на грош амуниции, на алтын амбиции.См. амуниция.См. вламываться в амбицию.
амбра 	(иноск.) — приятный запах (намек на дым от курения амброй — смолистым животным веществом, находимым на берегах некоторых морей)Ср. Благовоние... каждый цветок, каждая трава испускала амбру.Гоголь. Тарас Бульба.Ср. Чтоб у меня в комнате такое было амбре, чтоб нельзя было войти.Гоголь. Ревизор. 5, 2.Ср. Ambre (франц.), ambar (арабск.) — янтарь.
амброзия 	I.См. амврозияII.См. нектар и амврозия
амврозия(амброзия) 	(иноск.) — вкусная пища вообще; божественно прекрасная (в прямом смысле — пища бессмертных, богов)Ср. Твой глас подобится амврозии небесной.Батюшков. Гесиод и Омир.Ср. αμβροσία (αν, без — βροτός, смертный), бессмертная пища.
америку открыть 	(иноск. иронич.) — выдумать или выдать за новое, что всем давно известно; напрасно искатьСр. Когда окончательно обогатимся знаниями: изобретем сначала порох, потом компас, потом книгопечатание, а между прочим, откроем и Америку.Салтыков. Письма к тетеньке. 1.Ср. Нет ли в самом деле там, куда так пылко стремился он, чего-нибудь такого чистого, светлого, разумного, что могло бы не только избавить людей от старых оков, но открыть Америку, новый свежий воздух; поднять человека выше, нежели он был, дать ему больше, нежели он имел.Гончаров. Обрыв. 5, 6.
