...A voli troppo alti e repentini… 	См. Счастью не вовсе верь!.
All that glisters is not gold. 	См. Не все то золото, что блестит.
All the world’s a stage… 	См. Сойти со сцены.
All things that are… 	См. Наслажденье изменяет.
All zu straff gespannt, zerspringt der Bogen. 	См. Что больше понатягивать, то скорее лопнет.
Alla gloria non si va senza fatica. 	См. Крепость и волю дарует борьба.
Alle Cultur geht vom Magen aus. 	См. Брюхо.
Alle Hände voll zu thun haben. 	См. Хлопот — полон рот.
Alle Jubeljahr einmal. 	См. Юбилей.
Alle über einen Leisten geschlagen. 	См. На один копыл чорт всех ляхов покроил.
Aller Anfang ist schwer, am schwersten der Anfang in der Wirtschaft. 	См. Лиха беда начало!.
Aller guten Dinge sind drei. 	См. Бог любит троицу.
Aller où le Roi va à pied  ... 	Aller où le Roi va à pied (n’envoie personne) ...См. Надобность царя Саула.
Aller par quatre chemins… 	См. На все четыре стороны.
Aller planter ses choux. 	См. Цинцинат.
Aller sur la hacquenée des cordeliers. 	См. По способу пешего хождения.
Aller sur la mule des cordeliers. 	См. По способу пешего хождения.
Alles Ding hat zwei Seiten. 	См. Изнанка медали.
Alles durch den Schornstein jagen. 	Alles durch den Schornstein jagen (verprassen).См. Пустить в трубу.
Alles Gescheite ist schon gedacht worden, man muss nur versuchen es noch einmal zu denken. 	См. Все уже было сказано.
Alles Gute kommt von oben. 	См. Всякое даяние благо.
Alles in der Welt lässt sich ertragen… 	См. Под ним струя светлей лазури, Над ним луч солнца золотой; А он, мятежный, просит бури, Как будто в бурях есть покой!.
Alles mit Mass, sagte der Bauer, und trank ein Mass nach dem anderen. 	См. Сам себе знай меру.
Alles schon dagewesen. 	См. Ничто не ново под луною.
Alles, was ist, ist vernünftig. 	См. Все, что существует, разумно.
Alles, was man Wohlanständigkeit nennt, ist nichts als schöner Schein. 	См. Что не воспрещается — дозволяется.
Asino lyra superflue canit. 	См. Смыслен, как осел к волынке.
Asinos non curo. 	См. Собака лает, ветер носит.
Asinus ad Lyram. 	См. Избави, Бог, и нас от этаких судей.Asinus ad Lyram.См. Смыслен, как осел к волынке.
Asinus ad Lyrum. 	См. Свинья в апельсинах.
Asinus asinum fricat. 	См. Дурак дурака хвалит.
Asinus auricula movens. 	См. Хлопать ушами.
Asinus inter simias. 	См. Мистификация.
Asperius nihil est humili, cum surgit in altum. 	См. Натореет крестьянская овца, лучше боярской козы обрыкается.
Assai guadagne chi vano sperar perde. 	См. Век живи, век надейся.
Assassins juridiques. 	См. Судебная ошибка.
Assez ottroie qui ne dit. 	См. Молчание знак согласия.
Assidua stilla saxum excavat. 	См. Капля по капле и камень долбит.
Assomer un garde-chempétre, ce n’est pas assomer un homme! C’est écraser un principe! 	См. Принцип.
At enim nihil est, nisi, dum calet, hoc agitur... 	См. Куй железо, пока горячо.
At every word a reputation dies. 	См. Что слово — приговор.
At pulchrum est digito monstrari et dicier: hic est! 	См. Пальцем показывать.
Athenas intrasse et Solonem non vidisse! 	См. Быть в Риме — и не видать Папы.
Atque maritorum capita cornua non desunt. 	См. Рога приставить.
Atrocitati mansuetudo est remedium. 	См. Покорное слово — гнев укрощает.
Attenuant vigiles corpus miserabile curae. 	См. Не годы старят — а горе.
Attingit ergo a fine usque ad finem fortiter et disponit omnia suaviter. 	См. Железная рука, но мягкая перчатка.Attingit ergo a fine usque ad finem fortiter et disponit omnia suaviter.См. Твердо в деле, мягко в формах.
Au banquet de la vie infortuné convive… 	См. Жизненный пир.
Au besoin voit-on son ami. 	См. Друг познается в несчастии.
Au bon chouleur la pelote lui vient. 	См. Шулер.
Au bon vieux temps. 	См. Доброе старое время.
Au bord des fleuves de Babylone. 	См. При реках Вавилона — там сидели мы и плакали, когда вспоминали о Сионе.
Au cas que Lucas n’ait qu’un œil, sa femme épousera un borgne. 	См. Кабы не кабы, так и мы-б были цари.
Au dégouté le miel est amer. 	См. Сыта корова, коли макухи не ест.
Au demeurant le meilleur fils du monde. 	См. Хороший бы человек, да никуда не годится.
Au dessous est qui prie. 	См. Поклонишься и кошке в ножки!.
Au mort et à l’absent… 	См. Покойника не поминай лихом.
Au Muséum d’histoire naturelle à Paris, le masque de Cartouche se trouve placé entre ceux de Voltair… 	Au Muséum d’histoire naturelle à Paris, le masque de Cartouche se trouve placé entre ceux de Voltaire et de J. J. Rousseau: Habent sua fata libelli.См. Равны читатели, — Над книгой их права равны.
Au nom de qqchose. 	См. Во имя.
Au pied de l’échafaud il essaie encore la lyre. 	См. Лира.
Au pied levé. 	См. На одной ноге стоя.
Au prêter Dieu, au rendre diable. 	См. Хочешь врага нажить — дай ему взаймы.
Au rire on connait le fol. 	См. Нет ничего глупее глупого смеха.
Au temps que les bêtes parlaient. 	Au temps que les bêtes parlaient (ce qui paraît souvent se faire et à présent).См. Во время оно.
Au vray dire pert-on le jeu. 	См. Правду говорить, никому не угодить.
Auch Bücher haben ihr Erlebtes. 	См. Равны читатели, — Над книгой их права равны.
Blöde Jugendeselei. 	См. Фалалей в избе не нашел дверей.
Blöder Hund wird selten satt. 	См. Стыдливый из-за стола голодный встает.
Blödes Herz buhlt keine schöne Frau. 	См. Фалалей в избе не нашел дверей.
Bluestocking. 	См. Синий чулок.
Blut ist ein ganz besondrer Saft... 	См. Кровь не вода.
Bluthund. 	См. Кровопийца.
Blutige Thränen weinen. 	См. Кровавые слезы.
Bohème. 	Bohème (c’est une maison — vie de Bohème).См. Богема.
Boire comme un templier. 	См. Пьет, как в бездонную кадку льет.
Boire et manger, coucher ensemble… 	См. Брак холодит душу.
Boire le vin du marché. 	См. Вспрыснуть.
Bon battre sa femme en hui. 	См. Жену бей, так и щи вкусней.
Bon gré mal gré. 	См. Волею, неволею.
Bon mot n’espargne nului. 	См. Для красного словца — Не пощадит ни матери, ни отца.
Bon vivant. 	См. Бонвиван.
Bona opinio homini tutior pecunia est. 	См. Добрая слава лучше богатства.
Bona pro stercore habet. 	См. Куры не клюют.
Boni judicis est ampliare jurisdictionem. 	Boni judicis est ampliare jurisdictionem. (jur.)…См. Разум закона.
Boni pastoris est tondere pecus, non deglubere. 	См. Доброго пастыря дело овец стричь, а кожи не снимать.
Bonis honesta fert exitium veritas. 	См. Правду говорить — себе досадить.
Bonis nocet, quisquis pepercerit malis. 	См. Кто злым попускает, тот сам зло творит.
Bonis quod bene fit, haud perit. 	См. Кто добро творит, тому Бог отплатит.
Bonne renommée vaut mieux que ceinture dorée. 	См. Добрая слава лучше богатства.
Bonos corrumpunt mores congressus mali. 	См. Беседы злые — тлят обычаи благие.
Bons marchies traict argent de borse. 	См. Дешево да гнило, Дорого да мило.
Bont est une… 	См. Девка хороша, да слава не хороша.
Bonus judex secundum aequum et bonum judicat, et aequitatem stricto juri praefert. 	Bonus judex secundum aequum et bonum judicat, et aequitatem stricto juri praefert. (jur.)…См. Разум закона.
Böse Waare muss man aufschwatzen. 	См. Не солгать, так не продать.
Böse Zunge, ein bös Gewehr. 	См. Злые языки — острый меч.
Böse Zungen schneiden schärfer denn Schwerter. 	См. Злые языки — острый меч.
Böses muss mit Bösem enden. 	См. Лихому лихое.
Bottom upwards. 	См. Вверх дном.
Bouche de miel, coeur de fiel. 	См. На словах медок, а на сердце ледок.
Bouchet. Panégyrique du Chevalier sans reproche, messire Louys de la Trimouille. Poitiers. 1527. 	Bouchet. Panégyrique du Chevalier sans reproche, messire Louys de la Trimouille. († 1525 à Pavia.) Poitiers. 1527.См. Рыцарь без страха и упрека.
Bramarbasiren. 	См. Фордыбачить.
Braun und blau schlagen. 	См. Помять бока.
Brave comme saint George. 	См. Георгиевский кавалер.
Bread is the staff of life. 	См. Хлеб насущный.
Brebis comptées le loup les mange. 	См. Волк и из счету овец крадет.
Brechen Sie dieses geheimnissvolle Schweigen. 	См. Сломить молчания печать.
Chi ama il padrone fa carezze al cano. 	См. Любишь меня, люби и собаку мою.
Chi contro Dio gitta pietra, in capo gli torna. 	См. Выше носу плюнешь — себя заплюнешь.
Chi digiuna e altro ben non fa, a casa del diavol se ne va. 	См. Не сквернит в уста, а сквернит из уст.
Chi due lepri caccia… 	См. За двумя зайцами погонишься — и одного не поймаешь.
Chi è largo di bocca è stettodi mano. 	См. На словах, как на гуслях, а на деле — как на балалайке.
Chi fa il conto senza l’oste, lo fa duo volte. 	См. Рассчитать без хозяина.
Chi ha fortuna in amor, non giuochi a carte. 	См. Несчастлив в игре, так счастлив в любви.
Chi ha mal vicin ha mal mattin. 	См. Не купи двора, купи соседа.
Chi la pace non vuol, la guerra s’abbia. 	См. Если хочешь мира, готовься к войне.
Chi lingua ha, Roma va. 	См. Язык до Киева доведет.
Chi non ama le donne, il vino, il canto… 	См. Блажен, кому с друзьями Свою весну пропировать дано, Кто видит мир туманными глазами И любит жизнь за песню и вино.
Chi non ha, non è. 	См. Без денег и разума нет.
Chi non istima il sol quatt’rino… 	См. Кто не бережет копейки, сам рубля не стоит.
Chi non risica, non rosica. 	См. Риск — благородное дело.
Chi non sà orare, vada in mare. 	См. Кто на море не бывал, тот до сыта Богу не маливался.
Chi parla semina, chi tace raccoglie. 	См. Слово серебро, молчание — золото.
Chi più intende, più perdona. 	Chi più intende, più perdona (prov.).См. Мы почти всегда извиняем то, что понимаем.
Chi può dir com’ egli arde, è in picciol. 	См. Я любви не числю и не мерю.
Chi può vantarsi… 	См. Кто перед Богом не грешен, перед Царем не виноват.
Chi raro viene, vien bene. 	См. Где любят, тут не часто гости.
Chi semina vento raccoglie tempestà. 	См. Сеящие ветер, пожнут бурю.
Chi si ajuta Iddio l’ajuta. 	См. На Бога надейся, а сам не плошай.
Chi si loda, s’imbroda. 	См. Ржаная каша сама себя хвалить.
Chi sputa in su, lo sputo gli torna sul viso. 	См. Выше носу плюнешь — себя заплюнешь.
Chi trova un amico, trova un tesoro. 	См. Друг — денег дороже.
Chi va piano, va sano, chi va sano, va lontano. 	См. Тише едешь, дальше будешь.
Chi vede il periglio… 	См. На укоризну мы Фортуне тороваты.
Chiamare la gatta — gatta. 	См. Называть вещи своим именем.
Chien qui aboie ne mord pas. 	См. Не бойся собаки, которая лает.
Chiromancie. 	Chiromancie (ki).См. Хиромантия.
Choose an author as you choose a friend. 	См. Книги — лучший друг человека.
Chorea Machebaeorum. 	Chorea Machebaeorum (Macabre — Machabée).См. Пляска смерти.
Chose donnée doit estre louée. 	См. Даровому коню в зубы не смотрят.
Chose non connue n’est haïe ne désirée. 	См. Чего не знаю, по тому не скучаю.
Chose promise, chose due. 	См. Не дав слова, крепись, а дав слово, держись.
Chronique scandaleuse. 	См. Скандальная хроника.
Ci gît mon ami Mardoche… 	См. Что не складно, то и не ладно.
Ci-gît ma femme: oh qu’elle est bien… 	См. Добрая жена — веселье, а худая — зло зелье.
Ciabattiere, — Parla sol del tuo mestiere. 	См. Не свыше сапога.
Cibi condimentum fames est! 	См. Голод лучший повар.
C’est à prendre ou à laisser. 	См. Любо бери, не любо, прочь поди.
C’est à savoir. 	C’est à savoir (s’il osera).См. Это еще вопрос!.
C’est à tort qu’on dit: Fronti nulla fides; l’erreur naît d’une imparfaite et superficielle étude. 	См. На лбу написано.
C’est ainsi qu’en partant je vous fais mes adieux. 	См. Я в пустыню удаляюсь От прекрасных здешних мест.
C’est beaucoup tirer de notre ami, si, étant monté en faveur, il est encore un homme de notre connai… 	C’est beaucoup tirer de notre ami, si, étant monté en faveur, il est encore un homme de notre connaissance.См. Честь переменяет нравы.
C’est chose illustre et très louable… 	См. Что о том тужить, чего нельзя воротить.
C’est chose qui moult desplaist… 	См. Не петь курице петухом, не владеть бабе мужиком.
C’est dans l’ordre des choses. 	См. В порядке вещей.
C’est de la fatalité. 	C’est de la fatalité (Belle Helène).См. Фатальный.
C’est du haut allemand. 	См. Китайская грамота.
C’est du latin de cuisine, il n’y a que les marmitons qui l’entendent. 	См. Кухонная латынь.
C’est elle! Dieu que je suis aise! 	См. Библиоман.
C’est en amour surtout que les absents ont tort. 	См. С глаз долой из памяти вон.
C’est encore l’opinion du petit peuple dans la Périgord, qu’anciennement la substance du chrême se p… 	C’est encore l’opinion du petit peuple dans la Périgord, qu’anciennement la substance du chrême se prenait dans l’oreille du dragon, qu’un chevalier de la maison de Bourdeille allait cher- cher au-delà de Jerusalem, où il apportoit en suite cette substance, laquelle sanctifiée par les prélats du lieu, étoit distribuée dans les églises de la chrétiente.См. Слаще мирра и вина.
C’est faire comme le pourceau de St. Antoine. 	C’est faire comme le pourceau de St. Antoine (se fourrer partout).См. На шеромыжку.
C’est folie de manger cerises avec seigneurs. 	См. С сильным не борись, а с богатым не тяжись.
C’est fouet gref et félou… 	См. Сам на себя плеть вьет.
C’est jus vert ou verjus, bonnet blanc et blanc bonnet. 	См. Что ел, что кушал!.
C’est la chanson de ricochet. 	См. Старая погудка на новый лад.
C’est la chanson du ricochet. 	См. Пета бяху — стара песня!.
C’est la perle des hommes. 	См. Перл.
C’est la plus belle rose de son chapeau. 	См. Жемчужина.
C’est le bouc émissaire. 	См. Козел отпущения.
C’est le fils de la poule blanche. 	См. Барской курицы племянник.
C’est le grand moment. 	См. Момент решающий, подходящий.
C’est le jour le plus perdu où l’on n’a pas ri. 	См. День я потерял.
C’est le secret de la comédie. 	См. Секрет — на весь свет.
C’est le ton, qui fait la musique. 	C’est le ton, qui fait la musique (la chanson).См. По словам и голос.
C’est le ventre de ma mère, on n’y retourne plus. 	См. Не перерожать стать невесту тебе, какова есть.
C’est le ventre qui fait les révolutions. 	См. Брюхо.
C’est l’âne du moulin. 	См. На бедного Макара и шишки валятся.
C’est l’arche de Noë, toutes sortes des bêtes y font leur demeure. 	См. Ноев ковчег.
C’est l’oeuf de Colombe. 	См. Яйца на носок не поставит.
C’est mal achat de chat en sac. 	См. За-очи коня не купят.
C’est marché comme de paille. 	См. Дешевле пареной репы.
C’est mon faible. 	См. Слабость.
C’est posseder les biens que savoir s’en passer. 	См. Тот и богат, кто нужды не знает.
C’est pour moi de l’hébreu. 	См. Китайская грамота.
C’est promettre beaucoup, mais qu’en sort-il souvent? 	См. Гора мышь родила.
C’est sa passion. 	См. Пасия.
Dem ist gleich geschehen, als sei er zu Rom gewesen und hab den babst nit gesehen. 	См. Быть в Риме — и не видать Папы.
Dem Mimen flicht die Nachwelt keine Kränze. 	См. Венец.
Dem mutigen hilft Gott. 	См. Смелым Бог владает.
Dem Peter nehmen und dem Paul geben. 	См. Со Спаса дерет, да на Николу кладет.
Dem Wind und dem Narren lass seinen Lauf. 	См. За ветром в поле не угоняешься.Dem Wind und dem Narren lass seinen Lauf.См. Собака лает, ветер носит.
Dem, der sich weise dünkt, dem sag’ auf’s leiseste:… 	См. Блажен — не тот, кто всех умнее, Но тот, кто, будучи глупцом, Себя считает мудрецом.
Demitto auriculas, ut iniquae mentis asellus. 	См. И ухом не ведет.
Demivierge. 	См. Полудевственница.
Demüthiger Mönch, hoffärtiger Abt. 	См. Натореет крестьянская овца, лучше боярской козы обрыкается.
Den Abt reiten lassen. 	Den Abt reiten lassen (wenn der Abt ausgeritten ist, so machen sich die Mönche zu Hause lustig).См. Без Кота Мышам раздолье.
Den alten hört man schmerzhaft sagen… 	См. Теперь уж я не тот.
Den Baum erkennt man nach den Früchten. 	См. Дерево познается по плоду, а человек от дел.
Den Bock melken. 	См. Переливать из пустого в порожнее.
Den Bock zum Gärtner machen. 	См. Козла пустить в огород.
Den gestrigen Tag suchen. 	См. Вчерашнего дня искать.
Den Irrtum zu bekennen schändet nicht. 	См. Ошибаться — человеческое дело, а не сознаваться — дьявольское.
Den Jüngling ziert Bescheidenheit. 	См. Смиренье молодцу ожерелье.
Den Kopf verlieren. 	См. Потерять голову.
Den Mantel nach dem Winde hängen. 	См. Куда ветер подует.
Den Nagel auf den Kopf treffen. 	См. Не в бровь, а прямо в глаз.
Den Rahm abschöpfen. 	См. Пенку снимать.
Den Rauch einziehen. 	Den Rauch einziehen (beim Tabackrauchen).См. Затянуться.
Den Rücken zeigen. 	См. Плеча показать.
Den Schwerpunkt verlegen. 	Den Schwerpunkt verlegen (nach Osten).См. Центр тяжести.
Den Sommer schändet kein Donnerwetter… 	См. Жену не бить — и милу не быть.
Den Teufel auch! 	См. Что город, то норов, что деревня, то обычай.
Den Teufel auch. 	См. Чорта с два.
Den todten Löwen kann jeder Hase am Barte zupfen. 	См. И я его лягнул.
Den Ton angeben. 	См. Первую скрипку играть.
Den Zorn in die Höhe schrauben. 	См. Взвинтить себя.
Den Zufall bändige zum Glück. 	См. Под случай попасть.
Denique non omnes eadem mirantur amantque. 	См. На вкус и на цвет мастера нет.
Denique Par pari referto. 	См. Око за око, зуб за зуб.
Denk ich, so bin ich. Wohl! doch wer wird immer auch denken! 	См. Мыслю, следовательно, существую.
Denn aus Gemeinem ist der Mensch gemacht… 	См. Обычай старше закона.
Denn eine Brust, wo Sang und Lieder hausen… 	См. Поется там, где воля, и холя, и доля.
Denn nur Eisen kann uns retten… 	См. Железный.
Dente Theonino circumroditur. 	См. Зубы точить.
Deo ignoto. 	См. Неведомому Богу.
Deos fortioribus adesse. 	См. Большинство голосов.
Die alte Leier! 	См. Пета бяху — стара песня!.
Die Alternative ergreifen. 	См. Альтернативы.
Die Augen auskratzen. 	См. Выцарапать глаза.
Die Augen sind der Liebe Boten. 	Die Augen sind der Liebe Boten (Pforten).См. Любовь начинается с глаз.
Die Augen sind grösser als der Bauch. 	См. Брюхо сыто, да глаза голодны.
Die Augen sind grösser als der Magen. 	См. Глаза шире брюха.
Die Bärenhaut verkaufen bevor man den Bären hat. 	См. Не убив медведя, шкуры не продавай.
Die blaue Blume… 	См. Сезам отворись.
Die böse Sieben. 	См. Фурия.
Die Bretter, die die Welt bedeuten. 	См. Сойти со сцены.
Die Brücke kommt. Fritz! Fritz! wie… 	См. Однакож мост-ат наш каков!.
Die Canaillen sind zu brauchen, aber nicht zu estimiren. 	См. Донощик — что перевощик; надобен на час, а там, не знай нас!.
Die Dankbarkeit ist die Tugend der Nachwelt. 	См. За добро не жди добра.
Die Dummheit hat ihr Sublimes so gut als der Verstand, und wer darin bis zum Absurden gehen kann, ha… 	Die Dummheit hat ihr Sublimes so gut als der Verstand, und wer darin bis zum Absurden gehen kann, hat das Erhabene in dieser Art erreicht.См. От великого до смешного один шаг.
Die Ehe ist ein Bund, in welchem sich Mann und Weib verpflichten sich zeitlebens ihr Leid zu klagen. 	См. Брак холодит душу.
Die Ehen werden im Himmel geschlossen. 	См. Браки совершаются на небесах.
Die Fee Morgana. 	См. Фатаморгана.
Die Feige weisen. 	См. Показывать кукиш — в кармане.
Die Frauen haben grössere Schmerzen, als die, worüber sie weinen. 	См. Баба слезами беде помогает.
Die Geheimnisse des Kabinets stecken sich gern in die Falten des Weiberrocks. 	См. Политика.
Die grosse Nation. 	См. Нация.
Die Hand aufs Herz! 	См. Положа руку на сердце.
Die Hände in den Schoss legen. 	См. Положить руки в карман.
Die Herren dieser Art blend’t oft zu vieles Licht. 	См. Из-за лесу дерева не видать.
Die höchste Weisheit ist, nicht weise stets zu sein. 	См. Делу время, потехе час.
Die innere Stimme. 	См. Внутренний голос.
Die Irrthümer eines grossen Geistes sind belehrender, als die Wahrheiten eines kleinen. 	См. Тьмы низких истин мне дороже Нас возвышающий обман.
Die Jahre fliehen pfeilgeschwind. 	См. Время летит.
Die jetzigen Menschen sind zum Tadeln geboren. 	См. Как же критика хавроньей не назвать.
Die Jugend und die schöne Liebe, alles hat sein Ende. 	См. Младость дважды не бывает.
Die Katze im Sack kaufen. 	См. За-очи коня не купят.
Die Katze lässt das Mausen nicht. 	См. Гони природу в дверь, она войдет в окно.Die Katze lässt das Mausen nicht.См. Как волка ни корми, он все в лес глядит.
Die Klugen haben mit einander viel gemein. 	См. Великие души понимают друг друга.
Die Knoten vieler Worte lös’t das Schwert. 	См. Гордиев узел.
Die Kraft ist schwach, allein die Lust ist gross. 	См. Охота смертная, да участь горькая.
Die Kultur, die alle Welt beleckt. 	См. Культура.
Die Kunst der Seher ist ein eitles Nichts… 	См. Авгуры.
Die Kunst geht nach Brod. 	См. Нужда скачет и пляшет, нужда и песеньки поет.
Die Kunst ist weiblich! So rufen sie… 	См. Синий чулок.
Die Kunst sei noch so gross, die dein Verstand besitzet… 	См. О добре трудиться, есть чем похвалиться.
E ora che siam qui a tavolino… 	См. Всякому свое мило.
È perigliosa e vaua… 	См. С Бога начинай.
È più la spesa che la presa. 	См. Овчинка выделки не стоит.
E poi? 	См. Ну, а потом?.
È sempre bene. 	См. Все на свете к лучшему.
È stato a Roma e non ha veduto il Papa. 	См. Быть в Риме — и не видать Папы.
E tutta pettoruta, e tutta tronfia… 	См. Чичисбей.
Eadem mensura metiri. 	См. На свой аршин не меряй.
Eadem oberrare chorda. 	См. Кажинный раз на эфтом самом месте.
Early to bed and early to rise… 	См. Ранняя птичка носок прочищает, поздняя глаза продирает.
Eat at pleasure, drink with measure. 	См. Хорошего по немногу.
Eat thay cake and have it too. 	См. Знай себя, и того будет с тебя.
Eat, drink and love; the rest’s not worth a fillup. 	См. Старость придет — веселье на ум не пойдет.
Eau trouble gain du pêscheur. 	См. В мутной воде рыбу ловить.
Ecce homo. 	См. Се человек.
Ecce tibi lupum in sermone. 	См. Помяни волка, а волк из колка.
Écorcher la langue. 	См. Ломаным языком говорить.
Écouter l’herbe lever. 	См. Слышно ему как трава растет.
Edamus, bibamus, gaudeamus: post mortem nulla voluptas. 	См. Старость придет — веселье на ум не пойдет.
Ede, bibe, lude, post mortem nulla voluptas. 	См. Старость придет — веселье на ум не пойдет.
Edite, bibite collegiales… 	См. Старость придет — веселье на ум не пойдет.
Educate the people, was the first admonition adressed by Penn to the colony which he founded. Educat… 	«Educate the people», was the first admonition adressed by Penn to the colony which he founded. «Educate the people» was the legacy of Washington to the nation which he had saved.См. Сейте разумное, доброе вечное. Сейте! Спасибо вам скажет сердечное Русский народ.
Edvardum occidere nolite timere bonum est. 	См. Обращаться с словом нужно честно.
Ef sans doute il faut bien qu’à ce becque cornu… 	См. Рога приставить.
Egli è un malo universale… 	Egli (l’amore) è un malo universale…См. Любовь все побеждает.
Egli ha fatto il male, ed io mi porto la pena. 	См. В чужом пиру похмелье.
Egli si volta e fagli un fico in faccia. 	См. Показывать кукиш — в кармане.
Ego apros occido, sed alter fruitur pulpamento. 	См. Жнет где не сеял.
Ego hujus miserrima fatuitate adflictor. 	См. Фатство.
Ego primam tollo, nominor quoniam leo. 	См. Львиная доля.
Ego si bonam famam mihi servasso, sat ero dives. 	См. Добрая слава лучше богатства.
Ego te intus et in cute novi. 	См. Насквозь всего знать.
Ego, inquit vero, bona mea mecum porto. 	См. Встал да пошел, так и вотчина со мной.
Ehen werden im Himmel geschlossen. 	См. Суженого конем не объедешь.
Eher schätzet man das Gute… 	См. Что имеем, не храним; потерявши, плачем.
Eherne Stirn. 	Eherne (eiserne) Stirn.См. Медный лоб.
Eheu! fugaces labuntur anni. 	См. Время летит.
Eheu! quam brevibus pereunt ingentia causis. 	См. Смолоду прореха, под старость дыра.
Ehret die Frauen, sie flechten und weben… 	См. Прекрасный пол.
Ehrlicher Makler. 	См. Честный маклер.
Er lässt sich keine graue Haare darum wachsen. 	См. Как с гуся вода.
Er lässt sich nicht die Butter vom Brod nehmen. 	См. Охулки на свою руку не положит.
Er lebt wie Gott in Frankreich. 	См. Как паша, набоб, жить.
Er lügt dass sich die Balken biegen. 	См. Врет, что под ним ни одна лавка не устоит.
Er lügt wie ein Kalender. 	Er lügt wie ein Kalender (wie gedruckt).См. Все врут календари.
Er lügt wie telegraphirt. 	См. Врет, как по писанному.
Er lügt, wie gedruckt. 	См. Врет, как по писанному.
Er macht lange Finger. 	См. Пальцы долги.
Er passt dazu, wie der Esel zum Lautenschlagen. 	См. Смыслен, как осел к волынке.
Er reitet auf des Schusters Rappen. 	См. По способу пешего хождения.
Er sagte dir, dass dir einmal die Decke von den Augen fallen würde. 	См. Пелена спала.
Er schimpft wie ein Rohrsperling. 	См. Ругательски ругаться.
Er sieht oft, wie Herr Wieland spricht… 	См. Из-за лесу дерева не видать.
Er sitzt wie auf Nadeln. 	См. Сидеть, как на иголках.
